Data de Produção,Cód. Ordem,Cód. Recurso,Cód. Produto,Qtd. Produzida,Qtd. Refugada,Qtd. Retrabalhada,Fator Un.,Cód. Un.,Descrição da massa (Composto),Consumo de massa no item em (Kg/100pçs)
01/01/2024 00:00:00,2708184,EQ-124,PR10013,4254,25,36,1,PC,MASSA C315/1,2.435
02/01/2024 00:00:00,2701564,EQ-124,PR10017,1511,53,39,1,PC,MASSA C420/134,0.89
04/01/2024 00:00:00,2782567,EQ-124,PR10076,4612,75,13,1,PC,C424/40 ESCURO,1.57
05/01/2024 00:00:00,2744093,EQ-124,PR10033,4102,20,26,1,PC,MASSA C420/95,2.08
07/01/2024 00:00:00,2763885,EQ-124,PR10040,620,22,11,1,PC,P250/14,1.37
09/01/2024 00:00:00,2783109,EQ-124,PR10074,4000,27,26,1,PC,MASSA C420/191,1.796
10/01/2024 00:00:00,2770966,EQ-124,PR10048,3000,78,33,20,PC,C424/40 ESCURO,2.441
12/01/2024 00:00:00,2781300,EQ-124,PR10068,2363,22,3,1,PC,N144/83,0.932
13/01/2024 00:00:00,2713611,EQ-124,PR10008,4227,58,1,1,PC,N148/18,0.352
15/01/2024 00:00:00,2727819,EQ-124,PR10047,4066,52,31,20,PC,C424/50,1.178
17/01/2024 00:00:00,2793040,EQ-124,PR10011,1728,52,1,1,PC,N146/9,1.434
18/01/2024 00:00:00,2732922,EQ-124,PR10064,2455,33,21,1,PC,MASSA C315/1,1.526
20/01/2024 00:00:00,2701115,EQ-124,PR10013,2617,67,18,1,PC,N-142/67,1.893
22/01/2024 00:00:00,2725755,EQ-124,PR10063,2580,11,25,1,PC,C424/50,2.264
23/01/2024 00:00:00,2777828,EQ-124,PR10025,3591,1,19,1,PC,N-142/67,1.34
25/01/2024 00:00:00,2712287,EQ-124,PR10006,964,24,35,1,PC,C424/40 ESCURO,0.513
26/01/2024 00:00:00,2740126,EQ-124,PR10054,3434,67,17,1,PC,N-142/44,1.116
28/01/2024 00:00:00,2713862,EQ-124,PR10058,1610,43,13,20,PC,N-142/67,0.54
30/01/2024 00:00:00,2797289,EQ-124,PR10079,4237,33,19,1,PC,C424/50,0.603
31/01/2024 00:00:00,2788638,EQ-124,PR10078,4406,5,23,1,PC,MASSA C420/134,0.184
